,Epoch,Accuracy,Loss
0,1.0,1.1719,4.5898
1,2.0,0.5952,4.2315
2,3.0,4.6875,3.6701
3,4.0,1.875,3.8414
4,5.0,0.5541,3.6866
5,6.0,0.217,3.6109
6,7.0,0.0822,3.5257
7,8.0,1.5625,3.5056
8,9.0,0.1736,3.5643
9,10.0,0.0174,3.4021
10,11.0,1.5625,3.3936
11,12.0,0.1953,3.116
12,13.0,0.4117,3.1389
13,14.0,2.3438,3.0435
14,15.0,2.8646,3.5253
15,16.0,0.7812,3.0687
16,17.0,1.5625,3.2865
17,18.0,3.125,3.3826
18,19.0,0.2262,3.3676
19,20.0,1.5625,3.0615
20,21.0,3.125,3.3349
21,22.0,0.6696,2.9575
22,23.0,0.3906,3.0719
23,24.0,3.125,3.4358
24,25.0,1.5625,3.0628
25,26.0,3.125,2.9763
26,27.0,1.5625,3.3297
27,28.0,0.0401,3.1422
28,29.0,1.5625,3.2169
29,30.0,1.5625,2.1359
30,31.0,1.5625,2.4098
31,32.0,0.5208,1.5944
32,33.0,1.5625,1.5244
33,34.0,0.4849,1.3389
34,35.0,0.7812,1.7351
35,36.0,0.7812,1.3732
36,37.0,0.9615,0.8418
37,38.0,3.125,1.0443
38,39.0,0.7812,1.4692
39,40.0,0.5544,0.8496
40,41.0,2.3438,0.3816
41,42.0,0.5,0.6821
42,43.0,0.3906,1.0549
43,44.0,1.5625,0.499
44,45.0,1.1364,0.487
45,46.0,0.7994,0.5504
46,47.0,0.4444,0.349
47,48.0,1.0156,0.4765
48,49.0,1.9531,0.6608
49,50.0,0.4849,0.3922
50,51.0,0.6893,0.3557
51,52.0,0.9277,0.9112
52,53.0,1.5625,0.6905
53,54.0,1.0417,0.5567
54,55.0,1.5625,0.4397
55,56.0,0.4688,0.5179
56,57.0,1.0417,0.2707
57,58.0,1.5625,0.6376
58,59.0,1.0417,1.1442
59,60.0,0.5208,0.1957
60,61.0,0.7812,0.0397
61,62.0,0.6138,0.0379
62,63.0,0.7812,0.0359
63,64.0,1.2277,0.0191
64,65.0,0.5522,0.0222
65,66.0,0.5208,0.0202
66,67.0,1.5625,0.0264
67,68.0,0.7812,0.0123
68,69.0,1.1719,0.0138
69,70.0,0.7812,0.0182
70,71.0,0.5515,0.0104
71,72.0,1.2153,0.0127
72,73.0,1.25,0.0329
73,74.0,0.7812,0.0444
74,75.0,1.5625,0.0192
75,76.0,0.7812,0.0154
76,77.0,0.7812,0.0176
77,78.0,1.25,0.0174
78,79.0,1.5625,0.0133
79,80.0,1.0417,0.0156
80,81.0,0.7812,0.0157
81,82.0,0.5859,0.0163
82,83.0,0.544,0.0148
83,84.0,0.9375,0.015
84,85.0,0.558,0.0106
85,86.0,1.5625,0.0149
86,87.0,1.0417,0.0156
87,88.0,1.5625,0.0148
88,89.0,1.5625,0.02
89,90.0,0.7812,0.0103
90,91.0,1.5625,0.0119
91,92.0,1.0417,0.0127
92,93.0,0.9375,0.0146
93,94.0,0.6579,0.0182
94,95.0,0.6604,0.0179
95,96.0,0.6765,0.0132
96,97.0,0.6836,0.0109
97,98.0,0.6076,0.0112
98,99.0,1.5625,0.0129
99,100.0,0.7812,0.0165
100,101.0,1.5625,0.0109
101,102.0,1.5625,0.0153
102,103.0,0.7212,0.0145
103,104.0,1.0417,0.0127
104,105.0,3.125,0.0138
105,106.0,0.6735,0.0126
106,107.0,1.5625,0.0138
107,108.0,0.6856,0.0179
108,109.0,2.0833,0.0131
109,110.0,0.6696,0.0167
110,111.0,0.6747,0.0118
111,112.0,1.5625,0.0125
112,113.0,1.5625,0.0119
113,114.0,1.5625,0.0127
114,115.0,1.5625,0.0187
115,116.0,2.1875,0.0133
116,117.0,0.7353,0.0191
117,118.0,1.5625,0.0143
118,119.0,0.5821,0.0103
119,120.0,1.0417,0.02
120,121.0,1.5625,0.0166
121,122.0,1.0938,0.0114
122,123.0,1.5625,0.0103
123,124.0,0.6281,0.0158
124,125.0,0.5108,0.0145
125,126.0,0.744,0.0163
126,127.0,0.8929,0.0136
127,128.0,0.7812,0.0188
128,129.0,0.7056,0.0187
129,130.0,1.5625,0.0201
130,131.0,0.9375,0.0116
131,132.0,1.5625,0.025
132,133.0,1.5625,0.0119
133,134.0,0.6434,0.0193
134,135.0,0.6621,0.0122
135,136.0,3.125,0.012
136,137.0,0.6398,0.0166
137,138.0,0.5826,0.0144
138,139.0,1.5625,0.0121
139,140.0,1.0417,0.011
140,141.0,1.5625,0.0123
141,142.0,1.0417,0.0152
142,143.0,1.0817,0.0126
143,144.0,1.5625,0.0131
144,145.0,0.9766,0.0133
145,146.0,1.5625,0.0118
146,147.0,1.5625,0.0125
147,148.0,1.5625,0.013
148,149.0,0.9943,0.0163
149,150.0,0.8832,0.0193
150,151.0,1.0417,0.012
151,152.0,0.7812,0.012
152,153.0,1.0417,0.016
153,154.0,1.1719,0.0135
154,155.0,0.7812,0.023
155,156.0,3.125,0.0137
156,157.0,0.625,0.0144
157,158.0,0.9766,0.017
158,159.0,3.125,0.0147
159,160.0,1.5625,0.0141
160,161.0,3.125,0.0116
161,162.0,1.1161,0.0164
162,163.0,0.7812,0.0149
163,164.0,0.7812,0.0155
164,165.0,0.8272,0.0141
165,166.0,1.5625,0.014
166,167.0,1.1364,0.0161
167,168.0,1.5625,0.0148
168,169.0,0.8929,0.0166
169,170.0,0.6793,0.0226
170,171.0,0.8358,0.012
171,172.0,1.5625,0.0204
172,173.0,1.5625,0.014
173,174.0,0.7812,0.0123
174,175.0,1.5625,0.011
175,176.0,1.0417,0.0119
176,177.0,1.5625,0.0173
177,178.0,1.5625,0.0124
178,179.0,1.5625,0.012
179,180.0,1.3021,0.0171
180,181.0,1.5625,0.0117
181,182.0,1.5625,0.0174
182,183.0,1.5625,0.0153
183,184.0,1.5625,0.0141
184,185.0,0.625,0.018
185,186.0,0.7812,0.0152
186,187.0,0.6606,0.0176
187,188.0,0.9375,0.0174
188,189.0,1.5625,0.0147
189,190.0,3.125,0.0131
190,191.0,0.767,0.0178
191,192.0,1.5625,0.0155
192,193.0,0.8333,0.0132
193,194.0,1.0417,0.0165
194,195.0,1.5625,0.014
195,196.0,1.0938,0.0166
196,197.0,0.7812,0.016
197,198.0,1.5625,0.0166
198,199.0,1.0417,0.0155
199,200.0,0.7589,0.0174
201,Test,Accuracy,0.57
202,Best,4.6875,@ Epoch 3
